transaction_id,user_id,amount,payment_method,failure_reason,timestamp,hour_of_day,day_of_week,device_type,retry_count,past_success_rate,preferred_channel,retry_success
0a141238-0a5,U00486,171.14,upi,wrong_otp,2026-08-23 08:57:38.755993,8,6,desktop_web,2,0.68,sms,0
c05bafc9-095,U00747,156.99,upi,daily_limit_exceeded,2026-08-18 08:23:46.755993,8,1,ios,1,0.67,whatsapp,1
6515c507-633,U00649,1163.92,debit_card,wrong_otp,2026-08-07 19:39:48.755993,19,4,android,0,0.88,whatsapp,1
ee603b75-230,U00712,198.98,upi,insufficient_balance,2026-08-20 20:56:48.757509,20,3,android,2,0.7,email,1
43f2b817-d54,U00349,642.25,credit_card,insufficient_balance,2026-07-20 01:42:31.757509,1,0,desktop_web,0,0.75,sms,0
24c1d6d3-247,U00946,694.69,credit_card,bank_server_down,2026-08-25 03:30:04.758515,3,1,ios,2,0.55,sms,0
93d1bd09-08b,U00516,2506.15,upi,bank_server_down,2026-07-21 04:58:02.759021,4,1,desktop_web,3,0.86,whatsapp,1
d15d2201-24c,U00494,978.0,credit_card,insufficient_balance,2026-06-14 19:40:01.759021,19,6,desktop_web,0,0.99,whatsapp,0
f9ed092c-098,U00366,433.58,upi,network_timeout,2026-07-19 10:31:22.759670,10,6,android,1,0.81,email,1
c12c00a9-c78,U00586,1493.71,credit_card,wrong_otp,2026-06-25 20:16:18.760185,20,3,ios,2,0.71,whatsapp,0
8ff400d4-90e,U00568,1045.24,credit_card,insufficient_balance,2026-06-29 18:14:13.760185,18,0,desktop_web,3,0.5,sms,0
ca4d8e81-da9,U00748,299.09,upi,insufficient_balance,2026-08-26 05:29:54.760185,5,2,android,0,0.69,email,1
b3452fbd-6d6,U00670,951.25,upi,insufficient_balance,2026-07-07 13:54:25.761743,13,1,ios,3,0.97,whatsapp,1
b5be4e1a-f26,U00140,6044.37,credit_card,bank_server_down,2026-08-17 21:27:09.761743,21,0,ios,0,0.81,whatsapp,1
c24c46ad-a8d,U00791,329.88,wallet,card_declined_by_bank,2026-07-14 17:49:24.761743,17,1,ios,0,0.81,email,1
509588f7-b63,U00618,1026.55,debit_card,daily_limit_exceeded,2026-07-14 23:50:12.763293,23,1,android,3,0.85,whatsapp,1
bca67661-126,U00062,136.04,upi,network_timeout,2026-08-12 22:44:02.763293,22,2,mobile_web,3,0.61,whatsapp,1
a991bf13-aee,U00312,1880.89,upi,insufficient_balance,2026-08-22 03:10:28.763293,3,5,desktop_web,2,0.9,sms,1
8de5d323-013,U00583,341.43,upi,network_timeout,2026-08-03 02:39:28.764841,2,0,desktop_web,2,0.99,whatsapp,1
547a13d1-b6c,U00114,416.62,credit_card,insufficient_balance,2026-07-15 16:17:02.764841,16,2,android,2,0.75,sms,1
5939bb23-9a6,U00813,819.1,credit_card,card_declined_by_bank,2026-06-26 22:22:55.764841,22,4,desktop_web,1,0.81,whatsapp,1
884798f5-75c,U00932,1495.13,credit_card,bank_server_down,2026-08-07 21:03:05.766386,21,4,android,2,0.56,whatsapp,1
90d8dd34-2ef,U00807,1703.25,credit_card,insufficient_balance,2026-06-28 20:39:39.766386,20,6,mobile_web,3,0.71,sms,0
f2e37a0c-61c,U00239,293.02,credit_card,insufficient_balance,2026-06-23 04:30:57.766386,4,1,ios,3,0.91,whatsapp,0
90d8a7dc-fc6,U00115,767.32,upi,bank_server_down,2026-08-17 13:14:08.767899,13,0,mobile_web,3,0.83,sms,0
fd731fba-313,U00535,251.79,credit_card,bank_server_down,2026-08-05 22:07:19.768417,22,2,ios,1,0.79,whatsapp,0
d0676846-dfe,U00473,2019.81,credit_card,insufficient_balance,2026-08-07 15:32:33.768417,15,4,mobile_web,0,0.99,email,0
3f5fe6f8-bb2,U00605,724.06,credit_card,wrong_otp,2026-07-23 10:07:22.769430,10,3,android,3,0.99,whatsapp,1
20186124-7e2,U00487,16271.83,upi,expired_card,2026-06-06 06:52:20.769430,6,5,android,3,0.62,sms,1
c050b543-3ef,U00370,1679.55,upi,network_timeout,2026-06-05 11:56:19.769430,11,4,android,1,0.78,email,1
ebef99b4-9a5,U00148,349.07,debit_card,daily_limit_exceeded,2026-08-26 05:24:49.770992,5,2,android,1,0.86,sms,1
043c28b7-671,U00160,559.89,credit_card,wrong_otp,2026-06-27 19:55:35.770992,19,5,mobile_web,3,0.63,email,0
56571b0a-fb9,U00613,1368.34,upi,network_timeout,2026-06-30 06:24:03.770992,6,1,desktop_web,2,0.61,email,0
4f24260d-7e3,U00241,2955.43,netbanking,daily_limit_exceeded,2026-08-08 05:14:58.772609,5,5,desktop_web,0,0.76,email,1
6e0493de-c91,U00327,1324.57,credit_card,network_timeout,2026-07-19 02:02:54.772609,2,6,mobile_web,1,0.9,whatsapp,1
351bb7b2-45e,U00752,118.51,netbanking,insufficient_balance,2026-08-26 00:19:59.773660,0,2,android,0,0.63,email,0
d167d29f-bbb,U00654,1504.57,debit_card,card_declined_by_bank,2026-07-04 09:46:31.773660,9,5,android,2,0.99,sms,0
75d4df2d-951,U00072,460.2,netbanking,insufficient_balance,2026-08-06 16:58:13.773660,16,3,mobile_web,2,0.77,whatsapp,1
97b3dc0b-798,U00009,282.96,debit_card,bank_server_down,2026-07-11 18:44:27.775205,18,5,ios,1,0.86,whatsapp,1
492c3aaf-55f,U00156,4051.79,credit_card,insufficient_balance,2026-07-06 20:50:46.775205,20,0,desktop_web,3,0.99,email,1
40b89d85-fa7,U00637,77.74,upi,expired_card,2026-08-03 14:02:30.775205,14,0,ios,1,0.79,sms,1
19a9a7f9-763,U00912,944.65,upi,network_timeout,2026-06-13 12:12:34.776761,12,5,mobile_web,3,0.82,email,1
03228c0e-98e,U00965,110.94,wallet,insufficient_balance,2026-06-12 20:25:16.776761,20,4,mobile_web,3,0.99,whatsapp,0
903d27f8-01e,U00287,354.09,netbanking,network_timeout,2026-07-10 20:38:14.777768,20,4,ios,3,0.87,email,1
bbac0dfc-f7a,U00030,1000.18,credit_card,wrong_otp,2026-07-13 05:21:26.778276,5,0,mobile_web,2,0.69,email,1
b9d84439-5e4,U00631,252.12,upi,bank_server_down,2026-05-31 05:59:16.778791,5,6,mobile_web,1,0.99,sms,1
1634ce17-dc3,U00001,1997.4,debit_card,insufficient_balance,2026-08-28 11:43:34.778791,11,4,desktop_web,0,0.76,whatsapp,1
e5dea6ab-c11,U00672,139.04,wallet,wrong_otp,2026-08-06 23:10:12.779798,23,3,desktop_web,0,0.73,email,1
72cc8e06-784,U00995,139.27,credit_card,expired_card,2026-06-07 07:14:07.779798,7,6,ios,2,0.74,email,0
3e11c69f-88b,U00375,3655.94,credit_card,insufficient_balance,2026-08-24 22:19:41.779798,22,0,android,1,0.66,sms,0
1e3f4474-20c,U00387,722.79,credit_card,network_timeout,2026-08-03 10:53:54.779798,10,0,android,2,0.99,email,1
d3b449aa-77a,U00989,8104.85,credit_card,daily_limit_exceeded,2026-07-21 11:23:33.781404,11,1,android,3,0.78,whatsapp,0
7212224f-523,U00236,417.07,credit_card,daily_limit_exceeded,2026-07-25 06:06:38.781404,6,5,desktop_web,3,0.48,email,0
0f6440dd-60a,U00545,650.27,upi,expired_card,2026-06-28 03:11:03.781404,3,6,desktop_web,1,0.66,sms,0
5440e92c-930,U00812,167.76,upi,daily_limit_exceeded,2026-08-11 06:57:43.782983,6,1,desktop_web,2,0.99,whatsapp,1
aa618ac0-de0,U00805,350.42,upi,wrong_otp,2026-06-15 22:39:28.782983,22,0,android,2,0.73,whatsapp,1
42d665d7-309,U00321,159.67,debit_card,network_timeout,2026-06-27 09:00:13.782983,9,5,mobile_web,0,0.87,whatsapp,1
8ca4ff3f-a09,U00392,71.42,upi,insufficient_balance,2026-08-14 14:58:28.784533,14,4,desktop_web,2,0.58,email,1
04f0150a-78d,U00634,390.67,upi,bank_server_down,2026-08-21 19:37:46.784533,19,4,desktop_web,0,0.63,email,0
1003a9e6-c15,U00106,236.41,debit_card,wrong_otp,2026-08-26 21:26:05.784533,21,2,ios,3,0.99,whatsapp,1
26698c76-764,U00848,1028.72,upi,insufficient_balance,2026-08-14 12:05:47.786078,12,4,ios,3,0.68,sms,1
30dd1954-f24,U00904,1062.46,upi,wrong_otp,2026-06-02 17:46:52.786078,17,1,desktop_web,0,0.81,whatsapp,1
6f1a3e4e-82f,U00152,12060.56,wallet,wrong_otp,2026-08-18 07:25:47.786078,7,1,ios,3,0.68,sms,1
1ff94943-4ec,U00808,458.81,debit_card,bank_server_down,2026-07-06 17:31:06.787593,17,0,ios,3,0.97,whatsapp,1
7f8995dc-37e,U00338,631.15,debit_card,insufficient_balance,2026-07-25 14:56:49.787593,14,5,desktop_web,0,0.84,email,0
a49052ab-985,U00374,2362.72,credit_card,card_declined_by_bank,2026-06-10 18:57:40.788659,18,2,android,1,0.99,whatsapp,1
86abd6d5-7dd,U00780,230.48,credit_card,wrong_otp,2026-07-15 18:27:19.789177,18,2,ios,3,0.81,email,1
c31f0a15-194,U00099,3270.03,credit_card,bank_server_down,2026-06-25 00:38:08.789177,0,3,ios,3,0.74,email,1
ce2c5292-352,U00883,461.44,upi,daily_limit_exceeded,2026-07-13 02:30:09.789177,2,0,mobile_web,2,0.94,email,1
5147836e-803,U00506,4080.95,wallet,network_timeout,2026-06-03 12:15:09.790763,12,2,android,2,0.69,whatsapp,1
115aa214-532,U00955,769.26,wallet,wrong_otp,2026-08-27 15:52:03.790763,15,3,desktop_web,2,0.95,whatsapp,1
2594a16c-d40,U00155,186.85,upi,card_declined_by_bank,2026-06-24 07:40:09.790763,7,2,mobile_web,3,0.67,sms,1
e01efe11-d78,U00109,951.64,debit_card,network_timeout,2026-08-09 19:44:56.792275,19,6,ios,2,0.77,sms,1
63502d23-e3a,U00672,3779.6,credit_card,expired_card,2026-06-29 22:38:46.792275,22,0,android,0,0.73,email,1
3d1a1d82-078,U00457,3162.23,debit_card,insufficient_balance,2026-06-09 00:19:45.792275,0,1,android,3,0.62,whatsapp,0
a6c1f2d7-06c,U00553,75.5,upi,network_timeout,2026-06-23 23:38:06.793831,23,1,ios,0,0.82,email,1
f650a985-9aa,U00085,2785.83,upi,insufficient_balance,2026-07-27 05:07:04.793831,5,0,ios,0,0.7,whatsapp,0
ee71003d-e29,U00517,1032.12,debit_card,insufficient_balance,2026-08-21 16:19:35.793831,16,4,ios,3,0.63,whatsapp,1
a2a8492a-611,U00036,499.48,credit_card,daily_limit_exceeded,2026-07-24 11:42:38.795400,11,4,ios,0,0.81,email,0
90ec2246-49c,U00219,376.79,credit_card,insufficient_balance,2026-07-14 20:45:36.795400,20,1,android,3,0.79,email,1
ffc68f11-35e,U00201,3996.04,netbanking,insufficient_balance,2026-07-10 23:37:05.795400,23,4,desktop_web,2,0.86,whatsapp,0
aa471f6c-41a,U00322,429.05,upi,insufficient_balance,2026-08-13 23:27:46.796963,23,3,android,3,0.66,whatsapp,0
013270a2-23a,U00737,811.8,upi,expired_card,2026-06-24 14:24:51.797474,14,2,desktop_web,1,0.93,email,1
0cdbe954-d5f,U00957,105.09,upi,wrong_otp,2026-06-19 00:16:03.797474,0,4,mobile_web,1,0.85,email,1
0b129385-b84,U00920,1389.18,credit_card,insufficient_balance,2026-07-22 00:26:20.798479,0,2,mobile_web,1,0.94,email,1
1f24fa3a-a9b,U00232,696.07,credit_card,insufficient_balance,2026-07-12 09:38:04.798479,9,6,desktop_web,0,0.79,email,0
1e07af9a-6bb,U00928,143.93,upi,insufficient_balance,2026-08-09 03:58:40.798479,3,6,desktop_web,3,0.99,sms,0
8ca57f54-742,U00756,1096.07,upi,wrong_otp,2026-08-01 21:57:40.798479,21,5,android,0,0.85,whatsapp,1
b4293e7e-716,U00491,317.66,credit_card,insufficient_balance,2026-08-06 11:55:17.798479,11,3,desktop_web,3,0.99,whatsapp,1
afe4231a-811,U00836,412.21,credit_card,wrong_otp,2026-08-13 09:12:47.801194,9,3,mobile_web,3,0.99,whatsapp,1
2478a74a-fb5,U00027,122.5,upi,card_declined_by_bank,2026-08-14 08:23:23.801194,8,4,android,1,0.84,sms,0
4a5d0ddc-601,U00249,426.44,upi,expired_card,2026-08-17 22:41:54.801194,22,0,mobile_web,0,0.84,sms,0
04bca2c7-565,U00034,699.67,credit_card,daily_limit_exceeded,2026-07-04 09:00:54.802764,9,5,desktop_web,2,0.9,whatsapp,0
14f753e5-a30,U00251,319.67,upi,network_timeout,2026-08-01 08:28:02.804924,8,5,android,2,0.92,whatsapp,1
d051b87d-40d,U00689,749.83,credit_card,expired_card,2026-06-07 08:09:09.805929,8,6,mobile_web,2,0.85,sms,1
0b262f5c-bf6,U00025,628.03,credit_card,insufficient_balance,2026-06-03 08:19:22.805929,8,2,mobile_web,1,0.8,email,0
602af810-940,U00920,134.7,upi,bank_server_down,2026-06-09 21:27:44.807443,21,1,desktop_web,3,0.94,email,1
d19256ce-9ad,U00064,649.13,upi,network_timeout,2026-08-09 22:06:15.808448,22,6,ios,1,0.9,whatsapp,1
2d490b4b-ef1,U00188,777.25,upi,insufficient_balance,2026-07-27 02:20:15.808954,2,0,ios,3,0.65,email,0
261f5a3d-192,U00660,575.94,upi,card_declined_by_bank,2026-07-31 23:55:23.808954,23,4,desktop_web,3,0.69,sms,1
972f77e7-f5d,U00463,71.55,credit_card,card_declined_by_bank,2026-07-13 03:38:11.808954,3,0,android,0,0.81,whatsapp,1
4e748198-5d0,U00519,1614.54,upi,bank_server_down,2026-08-08 12:45:15.810164,12,5,android,3,0.89,email,1
a355509f-882,U00798,193.14,upi,card_declined_by_bank,2026-08-03 07:38:04.810164,7,0,mobile_web,1,0.78,sms,0
05db3fdc-717,U00188,342.0,debit_card,insufficient_balance,2026-06-06 12:31:29.810164,12,5,android,1,0.65,email,0
861170a1-fe9,U00013,2210.19,credit_card,insufficient_balance,2026-08-26 14:33:16.811712,14,2,android,1,0.49,whatsapp,1
0c9ccd20-0ff,U00947,140.39,debit_card,insufficient_balance,2026-06-16 06:02:38.811712,6,1,android,2,0.68,sms,1
0a67cca9-527,U00305,704.2,debit_card,insufficient_balance,2026-07-28 20:56:03.811712,20,1,ios,0,0.8,sms,1
3f9c94c4-d17,U00088,1386.39,debit_card,insufficient_balance,2026-07-17 19:06:10.813279,19,4,ios,0,0.7,whatsapp,1
708ead98-2b2,U00404,835.85,debit_card,bank_server_down,2026-08-17 07:39:20.813279,7,0,mobile_web,2,0.71,sms,0
4814ae59-7f7,U00690,2330.22,upi,network_timeout,2026-07-22 12:40:42.813279,12,2,ios,2,0.73,sms,1
4dd62b09-5a2,U00784,2540.37,debit_card,card_declined_by_bank,2026-08-12 17:27:17.814833,17,2,android,1,0.86,sms,1
ae340681-6ad,U00330,544.85,upi,insufficient_balance,2026-06-13 05:46:49.814833,5,5,mobile_web,1,0.78,email,1
fc1d98ca-266,U00659,3887.0,credit_card,wrong_otp,2026-07-12 02:49:45.814833,2,6,ios,0,0.76,sms,1
88d5bb40-556,U00084,3508.72,upi,card_declined_by_bank,2026-07-30 21:47:41.816383,21,3,mobile_web,1,0.66,email,1
d5dc180c-0d2,U00795,91.54,upi,wrong_otp,2026-05-31 03:28:13.816383,3,6,android,1,0.94,sms,1
bb44f6b8-f2c,U00515,4648.52,netbanking,network_timeout,2026-07-27 04:10:01.816383,4,0,desktop_web,3,0.89,sms,1
44acbbac-a21,U00883,514.62,credit_card,card_declined_by_bank,2026-07-15 17:51:51.817900,17,2,ios,1,0.94,email,1
7260fa21-216,U00672,1959.23,upi,insufficient_balance,2026-07-13 06:13:38.818481,6,0,mobile_web,1,0.73,email,0
c77564f6-569,U00203,639.25,netbanking,network_timeout,2026-06-03 04:20:18.818481,4,2,ios,3,0.94,email,1
057deeef-f54,U00772,318.56,credit_card,insufficient_balance,2026-08-18 18:31:15.819488,18,1,desktop_web,2,0.87,whatsapp,0
024ed16a-225,U00334,845.8,upi,wrong_otp,2026-06-18 03:50:26.820000,3,3,android,0,0.93,email,0
a79ae97a-bcd,U00981,783.63,credit_card,card_declined_by_bank,2026-07-21 22:19:12.820507,22,1,ios,3,0.84,email,1
4727ee95-aab,U00288,1492.33,debit_card,network_timeout,2026-06-26 08:47:43.821012,8,4,android,1,0.82,whatsapp,0
66993fb7-1ac,U00208,364.36,upi,insufficient_balance,2026-08-20 10:49:42.821012,10,3,mobile_web,3,0.86,whatsapp,1
cf2d6e53-2a6,U00506,565.35,upi,network_timeout,2026-06-03 17:08:28.821012,17,2,android,2,0.69,whatsapp,0
399513d1-068,U00516,79.61,upi,wrong_otp,2026-07-01 23:38:15.822526,23,2,mobile_web,0,0.86,whatsapp,1
a4622db4-505,U00068,325.43,upi,insufficient_balance,2026-07-21 16:48:56.822526,16,1,ios,1,0.83,sms,0
beafecd6-a06,U00553,752.35,debit_card,wrong_otp,2026-06-10 19:07:33.822526,19,2,android,1,0.82,email,0
bad87830-6e1,U00846,476.74,debit_card,wrong_otp,2026-07-01 04:14:42.824082,4,2,mobile_web,1,0.82,whatsapp,1
2f52e49c-21e,U00457,373.41,debit_card,daily_limit_exceeded,2026-06-21 20:45:39.824082,20,6,android,2,0.62,whatsapp,1
2a25a1b2-ba9,U00746,92.11,upi,insufficient_balance,2026-07-09 14:05:30.824082,14,3,ios,3,0.81,sms,1
e5198eff-cbe,U00276,144.94,netbanking,insufficient_balance,2026-07-26 08:02:18.825629,8,6,mobile_web,0,0.81,sms,1
01f9feea-435,U00975,3148.56,netbanking,insufficient_balance,2026-07-28 16:45:28.825629,16,1,mobile_web,1,0.5,email,0
742b1b8a-f5f,U00355,1998.32,upi,insufficient_balance,2026-08-08 09:58:47.825629,9,5,ios,2,0.63,sms,0
404b9977-1aa,U00955,757.92,wallet,insufficient_balance,2026-06-11 21:05:58.827175,21,3,android,0,0.95,whatsapp,1
a3a5fdde-c27,U00179,968.59,upi,insufficient_balance,2026-07-14 17:26:53.827690,17,1,mobile_web,3,0.99,sms,0
997fc67a-6a6,U00945,279.45,upi,bank_server_down,2026-08-24 14:09:26.827690,14,0,desktop_web,1,0.62,sms,1
931372c1-350,U00549,1700.15,debit_card,network_timeout,2026-07-28 21:38:18.828699,21,1,ios,1,0.69,whatsapp,0
7f95b817-877,U00652,435.07,upi,card_declined_by_bank,2026-07-17 00:37:28.828699,0,4,ios,3,0.74,whatsapp,0
8fcad189-945,U00955,731.82,debit_card,insufficient_balance,2026-08-09 09:44:21.828699,9,6,mobile_web,1,0.95,whatsapp,1
f0dc6407-45d,U00948,877.2,upi,wrong_otp,2026-06-21 02:55:10.830264,2,6,ios,0,0.77,email,1
2d100e60-ddd,U00464,2392.79,upi,insufficient_balance,2026-07-15 05:22:29.830264,5,2,android,3,0.76,whatsapp,1
d86d35ff-09f,U00727,1582.19,credit_card,wrong_otp,2026-08-16 00:11:25.830264,0,6,android,3,0.83,sms,1
ae90e24a-a72,U00723,997.85,credit_card,insufficient_balance,2026-08-11 15:28:30.830264,15,1,android,3,0.89,sms,0
34093da0-25d,U00725,770.77,netbanking,insufficient_balance,2026-06-28 05:54:58.831845,5,6,ios,0,0.75,email,1
3239bc04-353,U00543,2224.32,upi,network_timeout,2026-06-15 05:42:09.831845,5,0,mobile_web,0,0.99,email,1
4e117e23-3b8,U00825,1712.39,wallet,wrong_otp,2026-06-12 23:41:30.831845,23,4,mobile_web,1,0.99,sms,1
59ffd44d-2c8,U00661,257.42,debit_card,bank_server_down,2026-07-14 14:33:44.833395,14,1,android,0,0.7,whatsapp,1
b6ef2b9e-b60,U00204,1089.98,upi,network_timeout,2026-07-21 01:48:31.833395,1,1,android,2,0.57,sms,1
8bdcda58-d00,U00884,485.1,upi,insufficient_balance,2026-07-28 23:54:21.835006,23,1,ios,0,0.88,whatsapp,1
15cbbbb4-76e,U00714,679.86,credit_card,bank_server_down,2026-06-04 20:23:42.835006,20,3,desktop_web,0,0.77,whatsapp,0
70ab4272-753,U00731,828.56,upi,bank_server_down,2026-07-29 15:21:36.835006,15,2,android,2,0.63,whatsapp,1
5f3fef5a-3f3,U00707,4994.1,upi,network_timeout,2026-08-06 23:08:57.835006,23,3,android,1,0.99,whatsapp,1
e74c0472-1ad,U00529,3703.38,upi,bank_server_down,2026-07-21 22:06:45.836578,22,1,android,3,0.64,email,1
1a53e615-4cb,U00593,574.13,debit_card,card_declined_by_bank,2026-08-23 02:33:28.836578,2,6,ios,1,0.83,sms,1
2d1a5477-d30,U00372,1041.04,upi,daily_limit_exceeded,2026-07-18 10:04:06.837585,10,5,mobile_web,2,0.99,email,1
9f4b5a22-d64,U00449,558.32,upi,bank_server_down,2026-07-13 10:52:04.838089,10,0,mobile_web,0,0.62,whatsapp,1
